Date,Open,High,Low,Close,Volume,Adj Close
2012-02-15,2816.1001,2875.00,2816.1001,2867.24805,491600,531.94175
2012-02-14,2775.00,2808.00,2765.00,2800.3999,276500,519.53985
2012-02-13,2779.948,2794.552,2752.1001,2784.30005,206200,516.55295
2012-02-10,2790.052,2798.75195,2753.64795,2782.69995,278200,516.2561
2012-02-09,2750.00,2820.00,2732.00,2807.24805,307800,520.81034
2012-02-08,2749.00,2779.8999,2745.00,2768.64795,234500,513.64912
2012-02-07,2800.1001,2800.1001,2714.35205,2725.052,841400,505.56105
2012-02-06,2802.19995,2809.00,2755.19995,2776.30005,301700,515.06876
2012-02-03,2740.00,2786.6001,2739.00,2779.948,300400,515.74554
2012-02-02,2744.8999,2780.00,2728.552,2753.448,336600,510.82917
2012-02-01,2741.69995,2741.69995,2695.85205,2734.85205,301400,507.37919
2012-01-31,2715.00,2752.00,2708.00,2743.35205,290100,508.95614
2012-01-30,2700.00,2719.00,2690.052,2705.8999,254400,502.00789
2012-01-27,2695.00,2729.8999,2686.052,2720.6001,547100,504.73512
2012-01-26,2659.75195,2659.75195,2659.75195,2659.75195,000,493.44636
2012-01-25,2630.00,2670.00,2624.75195,2659.75195,364700,493.44636
2012-01-24,2621.00,2639.19995,2595.35205,2620.1001,327700,486.09001
2012-01-23,2580.00,2616.00,2580.00,2599.948,285200,482.35132
2012-01-20,2599.8999,2609.948,2575.19995,2583.552,423400,479.30948
2012-01-19,2608.30005,2623.552,2577.00,2591.8999,478100,480.85821
2012-01-18,2644.00,2644.00,2585.30005,2610.552,483500,484.31861
2012-01-17,2650.00,2668.00,2634.1001,2660.24805,580500,493.5384
2012-01-16,2584.80005,2641.00,2580.00,2634.1001,886400,488.68734
2012-01-13,2611.00,2618.75195,2555.00,2585.552,1704400,479.68053
2012-01-12,2744.00,2744.00,2578.00,2588.6001,4118000,480.24602
2012-01-11,2867.00,2895.30005,2812.50,2826.00,741300,524.28927
2012-01-10,2857.00,2876.8999,2850.1001,2863.00,642300,531.15364
2012-01-09,2848.75195,2866.00,2820.00,2836.19995,428900,526.1816
2012-01-06,2838.8999,2868.35205,2810.00,2830.64795,795700,525.15157
2012-01-05,2840.00,2876.00,2831.00,2838.8999,490300,526.68251
2012-01-04,2854.00,2872.00,2842.00,2854.24805,592900,529.52995
2012-01-03,2825.00,2886.69995,2819.552,2864.6001,769100,531.45049
2012-01-02,2763.8999,2813.69995,2742.00,2804.85205,511300,520.36583
2011-12-30,2745.80005,2774.00,2741.00,2765.052,206700,512.98199
2011-12-29,2755.00,2774.8999,2730.00,2743.64795,283100,509.01103
2011-12-28,2760.14795,2800.00,2754.00,2780.85205,871600,515.91327
2011-12-27,2767.948,2799.00,2740.00,2761.64795,373800,512.35046
2011-12-26,2689.00,2782.00,2689.00,2773.35205,437800,514.52184
2011-12-23,2735.14795,2736.35205,2683.14795,2694.85205,330200,499.95825
2011-12-22,2679.80005,2744.24805,2647.80005,2714.80005,478900,503.65907
2011-12-21,2714.8999,2753.448,2681.00,2744.24805,744500,509.12237
2011-12-20,2686.00,2698.6001,2651.948,2667.35205,396600,494.85636
2011-12-19,2695.00,2703.50,2655.6001,2674.14795,419100,496.11715
2011-12-16,2699.00,2775.00,2691.35205,2717.19995,588900,504.10431
2011-12-15,2729.00,2731.8999,2665.00,2715.24805,555800,503.74219
2011-12-14,2753.00,2765.00,2726.50,2740.8999,429400,508.50121
2011-12-13,2724.1001,2764.19995,2710.00,2754.64795,1060300,511.05179
2011-12-12,2719.00,2748.80005,2700.00,2731.24805,693600,506.71056
2011-12-09,2667.50,2734.19995,2659.24805,2706.14795,379700,502.0539
2011-12-08,2747.00,2758.00,2697.00,2723.75195,335700,505.31986
2011-12-07,2710.00,2769.00,2685.00,2752.80005,575000,510.70896
2011-12-06,2700.052,2700.052,2700.052,2700.052,000,500.92296
2011-12-05,2694.948,2713.00,2675.00,2700.052,226700,500.92296
2011-12-02,2650.00,2715.00,2635.00,2696.80005,322500,500.31965
2011-12-01,2665.00,2691.00,2635.052,2652.80005,348500,492.15662
2011-11-30,2505.35205,2622.00,2505.35205,2607.552,433900,483.76204
2011-11-29,2632.00,2633.6001,2585.052,2606.1001,745100,483.49268
2011-11-28,2620.00,2655.00,2613.00,2643.24805,965400,490.3845
2011-11-25,2654.00,2654.00,2590.052,2600.6001,774600,482.4723
2011-11-24,2648.00,2682.8999,2588.052,2666.6001,661000,494.71685
2011-11-23,2688.00,2688.8999,2615.80005,2650.552,444600,491.73955
2011-11-22,2629.00,2760.552,2612.00,2723.14795,1041600,505.2078
2011-11-21,2723.00,2733.00,2600.1001,2661.19995,422100,493.715
2011-11-18,2735.00,2763.00,2720.50,2739.50,234900,508.24149
2011-11-17,2769.00,2787.24805,2731.64795,2750.80005,342000,510.33792
2011-11-16,2796.00,2803.69995,2758.448,2776.1001,305100,515.03167
2011-11-15,2804.69995,2818.8999,2780.1001,2792.50,425400,518.07424
2011-11-14,2805.00,2830.00,2797.052,2808.448,272800,521.03296
2011-11-11,2750.00,2806.448,2720.00,2775.6001,643700,514.93891
2011-11-09,2841.00,2861.8999,2821.50,2832.1001,403200,525.42098
2011-11-08,2810.00,2847.00,2791.1001,2839.14795,574800,526.72852
2011-11-04,2846.00,2850.00,2794.00,2829.1001,948500,524.86441
2011-11-03,2833.69995,2842.00,2767.552,2802.14795,408700,519.86416
2011-11-02,2823.00,2853.552,2815.00,2828.64795,506200,524.78053
2011-11-01,2840.1001,2874.75195,2817.00,2837.19995,364900,526.36712
2011-10-31,2846.00,2897.8999,2846.00,2875.19995,491200,533.41702
2011-10-28,2906.00,2971.30005,2845.00,2859.64795,883800,530.53175
2011-10-26,2862.00,2874.8999,2831.00,2838.75195,172400,526.65506
2011-10-25,2800.00,2890.00,2800.00,2853.50,885000,529.39117
2011-10-24,2747.00,2773.80005,2742.052,2767.69995,325200,513.47324
2011-10-21,2746.00,2746.00,2707.19995,2722.69995,374600,505.12469
2011-10-20,2692.00,2758.00,2686.00,2745.948,341500,509.43775
2011-10-19,2720.00,2734.00,2701.00,2727.24805,464000,494.83704
2011-10-18,2699.00,2724.00,2686.69995,2703.1001,902600,490.45559
2011-10-17,2761.00,2763.00,2720.3999,2747.24805,1030900,498.46587
2011-10-14,2707.00,2750.1001,2687.00,2744.64795,1084000,497.99411
2011-10-13,2712.00,2728.00,2651.00,2695.35205,1240200,489.04977
2011-10-12,2601.00,2690.00,2601.00,2680.50,3809600,486.35498
2011-10-11,2583.00,2595.30005,2493.1001,2509.19995,1163400,455.27398
2011-10-10,2544.00,2599.00,2529.80005,2591.30005,609400,470.17037
2011-10-07,2555.35205,2574.80005,2488.00,2507.052,823700,454.88425
2011-10-05,2463.052,2499.00,2438.00,2454.30005,505200,445.31284
2011-10-04,2447.1001,2483.30005,2420.00,2440.69995,534000,442.84521
2011-10-03,2483.00,2517.00,2468.552,2476.35205,501600,449.31399
2011-09-30,2529.00,2564.00,2510.1001,2533.80005,621700,459.73747
